file,rss,pss,shared_clean,private_clean,private_dirty,anonymous,file_backed
pmap1.txt,327876,317234,11336,43564,272976,272976,54900
pmap2.txt,323776,313223,11240,43340,269196,269196,54580
pmap3.txt,319848,309195,11364,44012,264472,264472,55376
pmap4.txt,319160,308690,11144,43620,264396,264396,54764
pmap5.txt,315936,305290,11340,43564,261032,261032,54904
pmap6.txt,313212,302753,11144,43904,258164,258164,55048
pmap7.txt,309220,298591,11336,44332,253552,253552,55668
pmap8.txt,318316,307756,11256,43684,263376,263376,54940
pmap9.txt,311432,300825,11292,43336,256804,256804,54628
pmap10.txt,315760,305319,11116,43588,261056,261056,54704
pmap11.txt,312224,301534,11404,44352,256468,256468,55756
pmap12.txt,331280,320797,11172,43720,276388,276388,54892
pmap13.txt,315980,305510,11144,43620,261216,261216,54764
pmap14.txt,311396,300761,11328,43564,256504,256504,54892
pmap15.txt,320492,309969,11212,43972,265308,265308,55184
pmap16.txt,319380,308887,11168,43928,264284,264284,55096
