file,rss,pss,shared_clean,private_clean,private_dirty,anonymous,file_backed
pmap1.txt,324836,314275,11252,43364,270220,270220,54616
pmap2.txt,322116,311401,11412,44356,266348,266348,55768
pmap3.txt,326160,315544,11320,43584,271256,271256,54904
pmap4.txt,317516,306794,11416,44348,261752,261752,55764
pmap5.txt,316028,305561,11144,43592,261292,261292,54736
pmap6.txt,310768,300226,11232,43352,256184,256184,54584
pmap7.txt,322408,311949,11144,43620,267644,267644,54764
pmap8.txt,313812,303090,11416,44376,258020,258020,55792
pmap9.txt,313068,302538,11204,43860,258004,258004,55064
pmap10.txt,317544,307077,11144,43592,262808,262808,54736
pmap11.txt,317580,307115,11136,43756,262688,262688,54892
pmap12.txt,313388,302925,11152,43644,258592,258592,54796
pmap13.txt,311332,300867,11136,43756,256440,256440,54892
pmap14.txt,316240,305628,11300,44328,260612,260612,55628
pmap15.txt,313132,302425,11400,44348,257384,257384,55748
pmap16.txt,312620,302113,11208,43732,257680,257680,54940
