file,rss,pss,shared_clean,private_clean,private_dirty,anonymous,file_backed
pmap1.txt,314696,226419,11132,42292,177600,261272,53424
pmap2.txt,317888,228410,10864,42076,178380,264948,52940
pmap3.txt,322416,233393,10896,41932,183968,269588,52828
pmap4.txt,311812,224174,11020,42192,176004,258600,53212
pmap5.txt,339340,245557,11040,42108,191336,286192,53148
pmap6.txt,314516,226751,11104,42192,178528,261220,53296
pmap7.txt,316740,227244,10980,42060,177320,263700,53040
pmap8.txt,321532,231147,10932,42152,180208,268448,53084
pmap9.txt,311588,217247,10988,42056,162476,258544,53044
pmap10.txt,326964,237675,10856,42536,187384,273572,53392
pmap11.txt,305252,215709,10920,42592,165148,251740,53512
pmap12.txt,325412,237881,10928,41928,190016,272556,52856
pmap13.txt,312448,222760,11080,42108,172668,259260,53188
pmap14.txt,307828,219913,10940,42416,171156,254472,53356
pmap15.txt,311612,224156,11012,42092,176268,258508,53104
pmap16.txt,321636,233849,10908,41968,185648,268760,52876
